"gen","env","yield"
"DK78010/LH244","DEH1_2022",123.5
"DK78010/LH244","DEH1_2022",145.03
"DK78010/LH244","IAH1_2022",148.07
"DK78010/LH244","IAH1_2022",142.23
"DK78010/LH244","IAH2_2022",92.43
"DK78010/LH244","IAH2_2022",29.26
"DK78010/LH244","IAH3_2022",190.88
"DK78010/LH244","IAH3_2022",164.83
"DK78010/LH244","IAH4_2022",103.31
"DK78010/LH244","IAH4_2022",158.91
"DK78010/LH244","MIH1_2022",50.85
"DK78010/LH244","MIH1_2022",134.23
"DK78010/LH244","NCH1_2022",133.38
"DK78010/LH244","NCH1_2022",154.3
"DK78010/LH244","NEH1_2022",56.49
"DK78010/LH244","NEH1_2022",48.95
"DK78010/LH244","NEH2_2022",61.01
"DK78010/LH244","NEH2_2022",54.88
"DK78010/LH244","NEH3_2022",146.91
"DK78010/LH244","NEH3_2022",207.32
"DK78010/LH244","TXH1_2022",98.79
"DK78010/LH244","TXH1_2022",54.11
"DK78010/LH244","TXH2_2022",150.87
"DK78010/LH244","TXH2_2022",86.86
"DK78010/LH244","TXH3_2022",57.63
"DK78010/LH244","TXH3_2022",79.5
"DK78010/LH244","WIH2_2022",178.44
"DK78010/LH244","WIH2_2022",129.25
"GEMN-0096_PHJ89_0007/LH244","DEH1_2022",145.65
"GEMN-0096_PHJ89_0007/LH244","DEH1_2022",187.2
"GEMN-0096_PHJ89_0007/LH244","IAH1_2022",167.15
"GEMN-0096_PHJ89_0007/LH244","IAH1_2022",158.34
"GEMN-0096_PHJ89_0007/LH244","IAH2_2022",212.21
"GEMN-0096_PHJ89_0007/LH244","IAH2_2022",184.78
"GEMN-0096_PHJ89_0007/LH244","IAH3_2022",214.03
"GEMN-0096_PHJ89_0007/LH244","IAH3_2022",170.36
"GEMN-0096_PHJ89_0007/LH244","IAH4_2022",234.42
"GEMN-0096_PHJ89_0007/LH244","IAH4_2022",206.76
"GEMN-0096_PHJ89_0007/LH244","MIH1_2022",144.61
"GEMN-0096_PHJ89_0007/LH244","MIH1_2022",178.42
"GEMN-0096_PHJ89_0007/LH244","NCH1_2022",155.97
"GEMN-0096_PHJ89_0007/LH244","NCH1_2022",146.97
"GEMN-0096_PHJ89_0007/LH244","NEH1_2022",44.66
"GEMN-0096_PHJ89_0007/LH244","NEH1_2022",109.64
"GEMN-0096_PHJ89_0007/LH244","NEH2_2022",84.85
"GEMN-0096_PHJ89_0007/LH244","NEH2_2022",81.24
"GEMN-0096_PHJ89_0007/LH244","NEH3_2022",185.78
"GEMN-0096_PHJ89_0007/LH244","NEH3_2022",208.87
"GEMN-0096_PHJ89_0007/LH244","TXH1_2022",111.37
"GEMN-0096_PHJ89_0007/LH244","TXH1_2022",164.96
"GEMN-0096_PHJ89_0007/LH244","TXH2_2022",107.73
"GEMN-0096_PHJ89_0007/LH244","TXH2_2022",115.74
"GEMN-0096_PHJ89_0007/LH244","TXH3_2022",97.35
"GEMN-0096_PHJ89_0007/LH244","TXH3_2022",104.93
"GEMN-0096_PHJ89_0007/LH244","WIH2_2022",104.74
"GEMN-0096_PHJ89_0007/LH244","WIH2_2022",208.67
"GEMN-0096_PHK76_0004/LH244","DEH1_2022",177.81
"GEMN-0096_PHK76_0004/LH244","DEH1_2022",180.26
"GEMN-0096_PHK76_0004/LH244","IAH1_2022",171.87
"GEMN-0096_PHK76_0004/LH244","IAH1_2022",155.51
"GEMN-0096_PHK76_0004/LH244","IAH2_2022",65.6
"GEMN-0096_PHK76_0004/LH244","IAH2_2022",41.69
"GEMN-0096_PHK76_0004/LH244","IAH3_2022",189.71
"GEMN-0096_PHK76_0004/LH244","IAH3_2022",171.22
"GEMN-0096_PHK76_0004/LH244","IAH4_2022",194.99
"GEMN-0096_PHK76_0004/LH244","IAH4_2022",209.75
"GEMN-0096_PHK76_0004/LH244","MIH1_2022",194.74
"GEMN-0096_PHK76_0004/LH244","MIH1_2022",149.87
"GEMN-0096_PHK76_0004/LH244","NCH1_2022",152.3
"GEMN-0096_PHK76_0004/LH244","NCH1_2022",152.83
"GEMN-0096_PHK76_0004/LH244","NEH1_2022",120.76
"GEMN-0096_PHK76_0004/LH244","NEH1_2022",38.87
"GEMN-0096_PHK76_0004/LH244","NEH2_2022",70.88
"GEMN-0096_PHK76_0004/LH244","NEH2_2022",65.9
"GEMN-0096_PHK76_0004/LH244","NEH3_2022",194.88
"GEMN-0096_PHK76_0004/LH244","NEH3_2022",208.4
"GEMN-0096_PHK76_0004/LH244","TXH1_2022",122.63
"GEMN-0096_PHK76_0004/LH244","TXH1_2022",123.1
"GEMN-0096_PHK76_0004/LH244","TXH2_2022",175.91
"GEMN-0096_PHK76_0004/LH244","TXH2_2022",124.06
"GEMN-0096_PHK76_0004/LH244","TXH3_2022",120.46
"GEMN-0096_PHK76_0004/LH244","TXH3_2022",102.93
"GEMN-0096_PHK76_0004/LH244","WIH2_2022",176.31
"GEMN-0096_PHK76_0004/LH244","WIH2_2022",207.87
"GEMN-0096_PHP02_0005/LH244","DEH1_2022",184.72
"GEMN-0096_PHP02_0005/LH244","DEH1_2022",166.23
"GEMN-0096_PHP02_0005/LH244","IAH1_2022",192.25
"GEMN-0096_PHP02_0005/LH244","IAH1_2022",165.54
"GEMN-0096_PHP02_0005/LH244","IAH2_2022",181.8
"GEMN-0096_PHP02_0005/LH244","IAH2_2022",183.66
"GEMN-0096_PHP02_0005/LH244","IAH3_2022",230.36
"GEMN-0096_PHP02_0005/LH244","IAH3_2022",231.68
"GEMN-0096_PHP02_0005/LH244","IAH4_2022",223.73
"GEMN-0096_PHP02_0005/LH244","IAH4_2022",239.78
"GEMN-0096_PHP02_0005/LH244","MIH1_2022",128.25
"GEMN-0096_PHP02_0005/LH244","MIH1_2022",113.22
"GEMN-0096_PHP02_0005/LH244","NCH1_2022",164.01
"GEMN-0096_PHP02_0005/LH244","NCH1_2022",175.51
"GEMN-0096_PHP02_0005/LH244","NEH1_2022",139.82
