"gen","env","yield"
"GEMN-0096_LH212HT_0005/LH244","DEH1_2022",232.93
"GEMN-0096_LH212HT_0005/LH244","DEH1_2022",222.77
"GEMN-0096_LH212HT_0005/LH244","IAH1_2022",207.39
"GEMN-0096_LH212HT_0005/LH244","IAH1_2022",260.68
"GEMN-0096_LH212HT_0005/LH244","IAH2_2022",157.32
"GEMN-0096_LH212HT_0005/LH244","IAH2_2022",148.97
"GEMN-0096_LH212HT_0005/LH244","IAH3_2022",203.23
"GEMN-0096_LH212HT_0005/LH244","IAH3_2022",186.68
"GEMN-0096_LH212HT_0005/LH244","IAH4_2022",266.52
"GEMN-0096_LH212HT_0005/LH244","IAH4_2022",235.51
"GEMN-0096_LH212HT_0005/LH244","MIH1_2022",195.73
"GEMN-0096_LH212HT_0005/LH244","MIH1_2022",229.94
"GEMN-0096_LH212HT_0005/LH244","NCH1_2022",169.12
"GEMN-0096_LH212HT_0005/LH244","NCH1_2022",174.17
"GEMN-0096_LH212HT_0005/LH244","WIH2_2022",226.95
"GEMN-0096_LH212HT_0005/LH244","WIH2_2022",196
"GEMN-0096_PHP02_0007/LH244","DEH1_2022",189.07
"GEMN-0096_PHP02_0007/LH244","DEH1_2022",197.33
"GEMN-0096_PHP02_0007/LH244","IAH1_2022",190.77
"GEMN-0096_PHP02_0007/LH244","IAH1_2022",168.44
"GEMN-0096_PHP02_0007/LH244","IAH2_2022",163.89
"GEMN-0096_PHP02_0007/LH244","IAH2_2022",169.06
"GEMN-0096_PHP02_0007/LH244","IAH3_2022",200.46
"GEMN-0096_PHP02_0007/LH244","IAH3_2022",177.98
"GEMN-0096_PHP02_0007/LH244","IAH4_2022",204.07
"GEMN-0096_PHP02_0007/LH244","IAH4_2022",187.7
"GEMN-0096_PHP02_0007/LH244","MIH1_2022",193.23
"GEMN-0096_PHP02_0007/LH244","MIH1_2022",71.95
"GEMN-0096_PHP02_0007/LH244","NCH1_2022",156.51
"GEMN-0096_PHP02_0007/LH244","NCH1_2022",130.24
"GEMN-0096_PHP02_0007/LH244","WIH2_2022",152.02
"GEMN-0096_PHP02_0007/LH244","WIH2_2022",181.51
"GEMN-0096_PHP02_0025/LH244","DEH1_2022",248.61
"GEMN-0096_PHP02_0025/LH244","DEH1_2022",133.47
"GEMN-0096_PHP02_0025/LH244","IAH1_2022",180.04
"GEMN-0096_PHP02_0025/LH244","IAH1_2022",155.37
"GEMN-0096_PHP02_0025/LH244","IAH2_2022",262.99
"GEMN-0096_PHP02_0025/LH244","IAH2_2022",247.85
"GEMN-0096_PHP02_0025/LH244","IAH3_2022",169.22
"GEMN-0096_PHP02_0025/LH244","IAH3_2022",176.51
"GEMN-0096_PHP02_0025/LH244","IAH4_2022",230.46
"GEMN-0096_PHP02_0025/LH244","IAH4_2022",215.64
"GEMN-0096_PHP02_0025/LH244","MIH1_2022",156.85
"GEMN-0096_PHP02_0025/LH244","MIH1_2022",66.99
"GEMN-0096_PHP02_0025/LH244","NCH1_2022",187.86
"GEMN-0096_PHP02_0025/LH244","NCH1_2022",206.67
"GEMN-0096_PHP02_0025/LH244","WIH2_2022",140.25
"GEMN-0096_PHP02_0025/LH244","WIH2_2022",198.43
"GEMN-0097_LH212HT_0069/LH244","DEH1_2022",210.03
"GEMN-0097_LH212HT_0069/LH244","DEH1_2022",198.98
"GEMN-0097_LH212HT_0069/LH244","IAH1_2022",174.03
"GEMN-0097_LH212HT_0069/LH244","IAH1_2022",221.46
"GEMN-0097_LH212HT_0069/LH244","IAH2_2022",140.6
"GEMN-0097_LH212HT_0069/LH244","IAH2_2022",52.7
"GEMN-0097_LH212HT_0069/LH244","IAH3_2022",218.91
"GEMN-0097_LH212HT_0069/LH244","IAH3_2022",199
"GEMN-0097_LH212HT_0069/LH244","IAH4_2022",212.22
"GEMN-0097_LH212HT_0069/LH244","IAH4_2022",195.85
"GEMN-0097_LH212HT_0069/LH244","MIH1_2022",205.31
"GEMN-0097_LH212HT_0069/LH244","MIH1_2022",118.97
"GEMN-0097_LH212HT_0069/LH244","NCH1_2022",154.1
"GEMN-0097_LH212HT_0069/LH244","NCH1_2022",142.84
"GEMN-0097_LH212HT_0069/LH244","WIH2_2022",193.54
"GEMN-0097_LH212HT_0069/LH244","WIH2_2022",208.76
"GEMN-0097_PHJ89_0006/LH244","DEH1_2022",263.57
"GEMN-0097_PHJ89_0006/LH244","DEH1_2022",229.39
"GEMN-0097_PHJ89_0006/LH244","IAH1_2022",245.35
"GEMN-0097_PHJ89_0006/LH244","IAH1_2022",252.23
"GEMN-0097_PHJ89_0006/LH244","IAH2_2022",211.27
"GEMN-0097_PHJ89_0006/LH244","IAH2_2022",195.16
"GEMN-0097_PHJ89_0006/LH244","IAH3_2022",223.85
"GEMN-0097_PHJ89_0006/LH244","IAH3_2022",230.42
"GEMN-0097_PHJ89_0006/LH244","IAH4_2022",238.72
"GEMN-0097_PHJ89_0006/LH244","IAH4_2022",223.79
"GEMN-0097_PHJ89_0006/LH244","MIH1_2022",137.18
"GEMN-0097_PHJ89_0006/LH244","MIH1_2022",178.03
"GEMN-0097_PHJ89_0006/LH244","NCH1_2022",186.92
"GEMN-0097_PHJ89_0006/LH244","NCH1_2022",206.89
"GEMN-0097_PHJ89_0006/LH244","WIH2_2022",192.1
"GEMN-0097_PHJ89_0006/LH244","WIH2_2022",212.56
"GEMN-0097_PHJ89_0020/LH244","DEH1_2022",209.92
"GEMN-0097_PHJ89_0020/LH244","DEH1_2022",225.26
"GEMN-0097_PHJ89_0020/LH244","IAH1_2022",171.23
"GEMN-0097_PHJ89_0020/LH244","IAH1_2022",170
"GEMN-0097_PHJ89_0020/LH244","IAH2_2022",232.48
"GEMN-0097_PHJ89_0020/LH244","IAH2_2022",221.45
"GEMN-0097_PHJ89_0020/LH244","IAH3_2022",185.71
"GEMN-0097_PHJ89_0020/LH244","IAH3_2022",230.7
"GEMN-0097_PHJ89_0020/LH244","IAH4_2022",193.41
"GEMN-0097_PHJ89_0020/LH244","IAH4_2022",215.32
"GEMN-0097_PHJ89_0020/LH244","MIH1_2022",171.24
