"gen","env","yield"
"W10004_0073/PHZ51","GAH1_2021",123.74
"W10004_0073/PHZ51","GAH1_2021",127.74
"W10004_0073/PHZ51","IAH3_2021",160.31
"W10004_0073/PHZ51","IAH3_2021",149.79
"W10004_0073/PHZ51","NEH1_2021",198.18
"W10004_0073/PHZ51","NEH1_2021",106.76
"W10004_0073/PHZ51","NEH2_2021",89.25
"W10004_0073/PHZ51","NEH2_2021",144.88
"W10004_0073/PHZ51","NEH3_2021",206.49
"W10004_0073/PHZ51","NEH3_2021",177.17
"W10004_0073/PHZ51","TXH1_2021",140.27
"W10004_0073/PHZ51","TXH1_2021",181.27
"W10004_0073/PHZ51","TXH2_2021",90.9
"W10004_0073/PHZ51","TXH2_2021",147.79
"W10004_0073/PHZ51","TXH3_2021",21.5
"W10004_0073/PHZ51","TXH3_2021",26.06
"W10004_0148/PHZ51","GAH1_2021",117.65
"W10004_0148/PHZ51","GAH1_2021",141.63
"W10004_0148/PHZ51","IAH3_2021",120.97
"W10004_0148/PHZ51","IAH3_2021",161.26
"W10004_0148/PHZ51","NEH1_2021",182.87
"W10004_0148/PHZ51","NEH1_2021",194.11
"W10004_0148/PHZ51","NEH2_2021",170.28
"W10004_0148/PHZ51","NEH2_2021",174.82
"W10004_0148/PHZ51","NEH3_2021",149.36
"W10004_0148/PHZ51","NEH3_2021",196.2
"W10004_0148/PHZ51","TXH1_2021",147.75
"W10004_0148/PHZ51","TXH1_2021",104.16
"W10004_0148/PHZ51","TXH2_2021",167.25
"W10004_0148/PHZ51","TXH2_2021",155.23
"W10004_0148/PHZ51","TXH3_2021",17.85
"W10004_0148/PHZ51","TXH3_2021",29.17
"W10004_0649/PHZ51","GAH1_2021",97.35
"W10004_0649/PHZ51","GAH1_2021",140.32
"W10004_0649/PHZ51","IAH3_2021",151.74
"W10004_0649/PHZ51","IAH3_2021",167.48
"W10004_0649/PHZ51","NEH1_2021",154.21
"W10004_0649/PHZ51","NEH1_2021",152.52
"W10004_0649/PHZ51","NEH2_2021",192.02
"W10004_0649/PHZ51","NEH2_2021",82.64
"W10004_0649/PHZ51","NEH3_2021",212.03
"W10004_0649/PHZ51","NEH3_2021",186.38
"W10004_0649/PHZ51","TXH1_2021",133.36
"W10004_0649/PHZ51","TXH1_2021",179.61
"W10004_0649/PHZ51","TXH2_2021",125.44
"W10004_0649/PHZ51","TXH2_2021",110.01
"W10004_0649/PHZ51","TXH3_2021",86.17
"W10004_0649/PHZ51","TXH3_2021",31.79
"W10004_0684/PHZ51","GAH1_2021",159.87
"W10004_0684/PHZ51","GAH1_2021",153.32
"W10004_0684/PHZ51","IAH3_2021",138.37
"W10004_0684/PHZ51","IAH3_2021",122.08
"W10004_0684/PHZ51","NEH1_2021",179.03
"W10004_0684/PHZ51","NEH1_2021",162.37
"W10004_0684/PHZ51","NEH2_2021",77.51
"W10004_0684/PHZ51","NEH2_2021",217.46
"W10004_0684/PHZ51","NEH3_2021",206.8
"W10004_0684/PHZ51","NEH3_2021",187.63
"W10004_0684/PHZ51","TXH1_2021",168.27
"W10004_0684/PHZ51","TXH1_2021",107.95
"W10004_0684/PHZ51","TXH2_2021",120.41
"W10004_0684/PHZ51","TXH2_2021",171.69
"W10004_0684/PHZ51","TXH3_2021",59.2
"W10004_0684/PHZ51","TXH3_2021",69.95
"W10004_0781/PHZ51","GAH1_2021",123.23
"W10004_0781/PHZ51","GAH1_2021",144.71
"W10004_0781/PHZ51","IAH3_2021",121.83
"W10004_0781/PHZ51","IAH3_2021",153.69
"W10004_0781/PHZ51","NEH1_2021",18.47
"W10004_0781/PHZ51","NEH1_2021",26.45
"W10004_0781/PHZ51","NEH2_2021",197.69
"W10004_0781/PHZ51","NEH2_2021",171.75
