"gen","env","yield"
"W10004_0006/PHP02","IAH2_2021",184.83
"W10004_0006/PHP02","IAH2_2021",176.7
"W10004_0013/PHK76","IAH2_2021",153
"W10004_0013/PHK76","IAH2_2021",116.11
"W10004_0014/PHP02","IAH2_2021",247.06
"W10004_0014/PHP02","IAH2_2021",233.6
"W10004_0027/PHZ51","IAH2_2021",173.73
"W10004_0027/PHZ51","IAH2_2021",174.03
"W10004_0032/PHK76","IAH2_2021",153.43
"W10004_0032/PHK76","IAH2_2021",173.06
"W10004_0038/PHZ51","IAH2_2021",168.35
"W10004_0038/PHZ51","IAH2_2021",149.97
"W10004_0042/PHK76","IAH2_2021",144.54
"W10004_0042/PHK76","IAH2_2021",165.17
"W10004_0061/PHK76","IAH2_2021",165.21
"W10004_0061/PHK76","IAH2_2021",161.25
"W10004_0069/PHZ51","IAH2_2021",168.1
"W10004_0069/PHZ51","IAH2_2021",186.94
"W10004_0073/PHK76","IAH2_2021",185.35
"W10004_0073/PHK76","IAH2_2021",172.41
"W10004_0087/PHK76","IAH2_2021",157.69
"W10004_0087/PHK76","IAH2_2021",127.87
"W10004_0087/PHP02","IAH2_2021",159.61
"W10004_0087/PHP02","IAH2_2021",164.67
"W10004_0093/PHK76","IAH2_2021",167.64
"W10004_0093/PHK76","IAH2_2021",158.48
"W10004_0093/PHZ51","IAH2_2021",167.68
"W10004_0093/PHZ51","IAH2_2021",139.86
"W10004_0103/PHK76","IAH2_2021",154.04
"W10004_0103/PHK76","IAH2_2021",185.13
"W10004_0106/PHP02","IAH2_2021",196.12
"W10004_0106/PHP02","IAH2_2021",160.27
"W10004_0115/PHP02","IAH2_2021",172.48
"W10004_0115/PHP02","IAH2_2021",182.78
"W10004_0118/PHK76","IAH2_2021",162.88
"W10004_0118/PHK76","IAH2_2021",164.14
"W10004_0119/PHZ51","IAH2_2021",179.43
"W10004_0119/PHZ51","IAH2_2021",145.25
"W10004_0121/PHZ51","IAH2_2021",170.44
"W10004_0121/PHZ51","IAH2_2021",161.74
"W10004_0129/PHK76","IAH2_2021",198.31
"W10004_0129/PHK76","IAH2_2021",195.86
"W10004_0132/PHK76","IAH2_2021",183.71
"W10004_0132/PHK76","IAH2_2021",149.53
"W10004_0134/PHP02","IAH2_2021",193.56
"W10004_0134/PHP02","IAH2_2021",200.13
"W10004_0138/PHP02","IAH2_2021",166.2
"W10004_0138/PHP02","IAH2_2021",177
"W10004_0140/PHZ51","IAH2_2021",193.76
"W10004_0140/PHZ51","IAH2_2021",193.76
"W10004_0146/PHP02","IAH2_2021",195.07
"W10004_0146/PHP02","IAH2_2021",193.29
"W10004_0146/PHZ51","IAH2_2021",153.41
"W10004_0146/PHZ51","IAH2_2021",190.05
"W10004_0147/PHK76","IAH2_2021",179.09
"W10004_0147/PHK76","IAH2_2021",158.87
"W10004_0150/PHK76","IAH2_2021",160.69
"W10004_0150/PHK76","IAH2_2021",207.46
"W10004_0152/PHK76","IAH2_2021",170.84
"W10004_0152/PHK76","IAH2_2021",150.68
"W10004_0166/PHK76","IAH2_2021",190.42
"W10004_0166/PHK76","IAH2_2021",156.98
"W10004_0167/PHK76","IAH2_2021",164.18
"W10004_0167/PHK76","IAH2_2021",137.97
"W10004_0167/PHP02","IAH2_2021",184.42
"W10004_0167/PHP02","IAH2_2021",179.88
"W10004_0167/PHZ51","IAH2_2021",188.68
"W10004_0167/PHZ51","IAH2_2021",197.51
"W10004_0171/PHZ51","IAH2_2021",198.39
"W10004_0171/PHZ51","IAH2_2021",188.04
"W10004_0194/PHZ51","IAH2_2021",130.54
"W10004_0194/PHZ51","IAH2_2021",176.45
"W10004_0203/PHZ51","IAH2_2021",193.3
"W10004_0203/PHZ51","IAH2_2021",162.62
"W10004_0206/PHK76","IAH2_2021",161.97
"W10004_0206/PHK76","IAH2_2021",170.55
"W10004_0223/PHZ51","IAH2_2021",191.53
"W10004_0223/PHZ51","IAH2_2021",193.12
"W10004_0224/PHK76","IAH2_2021",184.14
"W10004_0224/PHK76","IAH2_2021",179.61
"W10004_0231/PHK76","IAH2_2021",174.62
"W10004_0231/PHK76","IAH2_2021",149.52
"W10004_0238/PHP02","IAH2_2021",141.79
"W10004_0238/PHP02","IAH2_2021",179.45
"W10004_0253/PHZ51","IAH2_2021",181.06
"W10004_0253/PHZ51","IAH2_2021",184.85
"W10004_0256/PHZ51","IAH2_2021",150.06
"W10004_0256/PHZ51","IAH2_2021",155.74
"W10004_0258/PHP02","IAH2_2021",213.63
"W10004_0258/PHP02","IAH2_2021",178.25
"W10004_0262/PHZ51","IAH2_2021",137.44
"W10004_0262/PHZ51","IAH2_2021",161.08
"W10004_0292/PHK76","IAH2_2021",149
"W10004_0292/PHK76","IAH2_2021",166.21
"W10004_0308/PHP02","IAH2_2021",197.65
"W10004_0308/PHP02","IAH2_2021",198.13
"W10004_0311/PHP02","IAH2_2021",162.01
"W10004_0311/PHP02","IAH2_2021",157.37
"W10004_0336/PHP02","IAH2_2021",189.13
"W10004_0336/PHP02","IAH2_2021",180.03
"W10004_0393/PHZ51","IAH2_2021",162.77
"W10004_0393/PHZ51","IAH2_2021",115.48
"W10004_0394/PHZ51","IAH2_2021",153.7
"W10004_0394/PHZ51","IAH2_2021",169.37
"W10004_0419/PHZ51","IAH2_2021",180.44
"W10004_0419/PHZ51","IAH2_2021",176.85
"W10004_0430/PHK76","IAH2_2021",150.95
"W10004_0430/PHK76","IAH2_2021",171
"W10004_0430/PHP02","IAH2_2021",176.96
"W10004_0430/PHP02","IAH2_2021",174.15
"W10004_0467/PHK76","IAH2_2021",121.56
"W10004_0467/PHK76","IAH2_2021",124.22
"W10004_0487/PHZ51","IAH2_2021",193.53
"W10004_0487/PHZ51","IAH2_2021",160.68
"W10004_0501/PHK76","IAH2_2021",151.83
"W10004_0501/PHK76","IAH2_2021",160.45
"W10004_0601/PHK76","IAH2_2021",152.33
"W10004_0601/PHK76","IAH2_2021",170.27
"W10004_0601/PHP02","IAH2_2021",188.32
"W10004_0601/PHP02","IAH2_2021",199.07
"W10004_0601/PHZ51","IAH2_2021",187.57
"W10004_0601/PHZ51","IAH2_2021",174.71
"W10004_0602/PHK76","IAH2_2021",173.77
"W10004_0602/PHK76","IAH2_2021",154.13
"W10004_0602/PHP02","IAH2_2021",158.93
"W10004_0602/PHP02","IAH2_2021",180.3
"W10004_0619/PHP02","IAH2_2021",216.44
"W10004_0619/PHP02","IAH2_2021",172
"W10004_0620/PHZ51","IAH2_2021",191
"W10004_0620/PHZ51","IAH2_2021",174.24
"W10004_0625/PHK76","IAH2_2021",169.83
"W10004_0625/PHK76","IAH2_2021",188.05
"W10004_0625/PHP02","IAH2_2021",209.9
"W10004_0625/PHP02","IAH2_2021",188.15
"W10004_0631/PHP02","IAH2_2021",174.09
"W10004_0631/PHP02","IAH2_2021",175.67
"W10004_0659/PHK76","IAH2_2021",175.06
"W10004_0659/PHK76","IAH2_2021",163.65
"W10004_0661/PHP02","IAH2_2021",197.73
"W10004_0661/PHP02","IAH2_2021",185.93
"W10004_0672/PHZ51","IAH2_2021",148.18
"W10004_0672/PHZ51","IAH2_2021",171.71
"W10004_0675/PHP02","IAH2_2021",177.76
"W10004_0675/PHP02","IAH2_2021",187.92
"W10004_0678/PHP02","IAH2_2021",176.75
"W10004_0678/PHP02","IAH2_2021",151.84
"W10004_0687/PHP02","IAH2_2021",191.78
"W10004_0687/PHP02","IAH2_2021",199.42
"W10004_0688/PHP02","IAH2_2021",192.35
"W10004_0688/PHP02","IAH2_2021",157.69
"W10004_0689/PHZ51","IAH2_2021",178.19
"W10004_0689/PHZ51","IAH2_2021",189.69
"W10004_0691/PHK76","IAH2_2021",135.69
"W10004_0691/PHK76","IAH2_2021",129.86
"W10004_0696/PHP02","IAH2_2021",216.3
"W10004_0696/PHP02","IAH2_2021",211.61
"W10004_0702/PHP02","IAH2_2021",169.88
"W10004_0702/PHP02","IAH2_2021",157.64
"W10004_0712/PHZ51","IAH2_2021",197.78
"W10004_0712/PHZ51","IAH2_2021",183.41
"W10004_0714/PHZ51","IAH2_2021",178.61
"W10004_0714/PHZ51","IAH2_2021",162.39
"W10004_0715/PHZ51","IAH2_2021",167.48
"W10004_0715/PHZ51","IAH2_2021",182.15
"W10004_0717/PHK76","IAH2_2021",161.9
"W10004_0717/PHK76","IAH2_2021",138.15
"W10004_0717/PHZ51","IAH2_2021",167.24
"W10004_0717/PHZ51","IAH2_2021",143.41
"W10004_0727/PHP02","IAH2_2021",197.36
"W10004_0727/PHP02","IAH2_2021",182.71
"W10004_0736/PHK76","IAH2_2021",141.98
"W10004_0736/PHK76","IAH2_2021",161.96
"W10004_0774/PHP02","IAH2_2021",141.18
"W10004_0774/PHP02","IAH2_2021",156.97
"W10004_0776/PHP02","IAH2_2021",208.42
"W10004_0776/PHP02","IAH2_2021",218.21
"W10004_0783/PHZ51","IAH2_2021",164.36
"W10004_0783/PHZ51","IAH2_2021",174.68
"W10004_0787/PHP02","IAH2_2021",182.59
"W10004_0787/PHP02","IAH2_2021",185.62
"W10004_0798/PHK76","IAH2_2021",178.53
"W10004_0798/PHK76","IAH2_2021",145.44
"W10004_0801/PHZ51","IAH2_2021",204.89
"W10004_0801/PHZ51","IAH2_2021",183.3
"W10004_0806/PHZ51","IAH2_2021",200.79
"W10004_0806/PHZ51","IAH2_2021",172.08
"W10004_0814/PHP02","IAH2_2021",192.46
"W10004_0814/PHP02","IAH2_2021",203.26
"W10004_0823/PHP02","IAH2_2021",194.36
"W10004_0823/PHP02","IAH2_2021",216
"W10004_0826/PHP02","IAH2_2021",201.36
"W10004_0826/PHP02","IAH2_2021",183.41
"W10004_0827/PHK76","IAH2_2021",165.24
"W10004_0827/PHK76","IAH2_2021",160.28
"W10004_0833/PHP02","IAH2_2021",192.08
"W10004_0833/PHP02","IAH2_2021",235.78
"W10004_0837/PHZ51","IAH2_2021",200.05
"W10004_0837/PHZ51","IAH2_2021",192.43
"W10004_0842/PHK76","IAH2_2021",189.31
"W10004_0842/PHK76","IAH2_2021",146.5
"W10004_0847/PHK76","IAH2_2021",122.21
"W10004_0847/PHK76","IAH2_2021",146.87
"W10004_0858/PHP02","IAH2_2021",183.17
"W10004_0858/PHP02","IAH2_2021",178.77
"W10004_0876/PHK76","IAH2_2021",189.47
"W10004_0876/PHK76","IAH2_2021",168.62
"W10004_0879/PHK76","IAH2_2021",170.77
"W10004_0879/PHK76","IAH2_2021",151.04
"W10004_0888/PHZ51","IAH2_2021",163.28
"W10004_0888/PHZ51","IAH2_2021",151.96
"W10004_0891/PHP02","IAH2_2021",165.4
"W10004_0891/PHP02","IAH2_2021",159.35
"W10004_0894/PHK76","IAH2_2021",167.88
"W10004_0894/PHK76","IAH2_2021",210.33
"W10004_0894/PHP02","IAH2_2021",179.5
"W10004_0894/PHP02","IAH2_2021",176.92
"W10004_0894/PHZ51","IAH2_2021",174.48
"W10004_0894/PHZ51","IAH2_2021",151.04
"W10004_0900/PHK76","IAH2_2021",152.72
"W10004_0900/PHK76","IAH2_2021",155.04
"W10004_0932/PHP02","IAH2_2021",172.44
"W10004_0932/PHP02","IAH2_2021",188.93
"W10004_0935/PHZ51","IAH2_2021",152.64
"W10004_0935/PHZ51","IAH2_2021",145.7
"W10004_0943/PHZ51","IAH2_2021",177.59
"W10004_0943/PHZ51","IAH2_2021",161.62
"W10004_0950/PHK76","IAH2_2021",134.88
"W10004_0950/PHK76","IAH2_2021",143.09
"W10004_0951/PHK76","IAH2_2021",170.35
"W10004_0951/PHK76","IAH2_2021",150.68
"W10004_0951/PHP02","IAH2_2021",167.17
"W10004_0951/PHP02","IAH2_2021",166.02
"W10004_0965/PHP02","IAH2_2021",164.51
"W10004_0965/PHP02","IAH2_2021",176.91
"W10004_0965/PHZ51","IAH2_2021",134.18
"W10004_0965/PHZ51","IAH2_2021",136.76
"W10004_0966/PHK76","IAH2_2021",158.08
"W10004_0966/PHK76","IAH2_2021",157.54
"W10004_0969/PHZ51","IAH2_2021",138.71
"W10004_0969/PHZ51","IAH2_2021",162.76
"W10004_0970/PHP02","IAH2_2021",159.09
"W10004_0970/PHP02","IAH2_2021",163.05
"W10004_0975/PHK76","IAH2_2021",153.17
"W10004_0975/PHK76","IAH2_2021",166.73
"W10004_0981/PHZ51","IAH2_2021",184.74
"W10004_0981/PHZ51","IAH2_2021",169.06
"W10004_0988/PHK76","IAH2_2021",166.47
"W10004_0988/PHK76","IAH2_2021",174.8
"W10004_0988/PHZ51","IAH2_2021",185.13
"W10004_0988/PHZ51","IAH2_2021",173.5
"W10004_0997/PHP02","IAH2_2021",176.52
"W10004_0997/PHP02","IAH2_2021",182.23
"W10004_1001/PHZ51","IAH2_2021",141.83
"W10004_1001/PHZ51","IAH2_2021",151.03
"W10004_1007/PHZ51","IAH2_2021",180.1
"W10004_1007/PHZ51","IAH2_2021",154.14
"W10004_1011/PHP02","IAH2_2021",205.32
