"gen","env","yield"
"W10004_0227/PHZ51","IAH1_2021",137.66
"W10004_0227/PHZ51","IAH1_2021",162.16
"W10004_0227/PHZ51","NEH1_2021",117.84
"W10004_0227/PHZ51","NEH1_2021",73.43
"W10004_0227/PHZ51","NEH2_2021",142.46
"W10004_0227/PHZ51","NEH2_2021",119.63
"W10004_0227/PHZ51","NEH3_2021",261.36
"W10004_0227/PHZ51","NEH3_2021",169.65
"W10004_0227/PHZ51","TXH1_2021",108.55
"W10004_0227/PHZ51","TXH1_2021",81.39
"W10004_0227/PHZ51","TXH2_2021",100.34
"W10004_0227/PHZ51","TXH2_2021",115.96
"W10004_0227/PHZ51","TXH3_2021",18.08
"W10004_0227/PHZ51","TXH3_2021",27.47
"W10004_0227/PHZ51","WIH2_2021",184.82
"W10004_0227/PHZ51","WIH2_2021",161.54
"W10004_0344/PHZ51","IAH1_2021",121.03
"W10004_0344/PHZ51","IAH1_2021",115.18
"W10004_0344/PHZ51","NEH1_2021",183.69
"W10004_0344/PHZ51","NEH1_2021",185.44
"W10004_0344/PHZ51","NEH2_2021",155.15
"W10004_0344/PHZ51","NEH2_2021",243.63
"W10004_0344/PHZ51","NEH3_2021",250.93
"W10004_0344/PHZ51","NEH3_2021",161.18
"W10004_0344/PHZ51","TXH1_2021",168.59
"W10004_0344/PHZ51","TXH1_2021",153.58
"W10004_0344/PHZ51","TXH2_2021",109.26
"W10004_0344/PHZ51","TXH2_2021",153.9
"W10004_0344/PHZ51","TXH3_2021",49.89
"W10004_0344/PHZ51","TXH3_2021",26.91
"W10004_0344/PHZ51","WIH2_2021",194.79
"W10004_0344/PHZ51","WIH2_2021",193.98
"W10004_0639/PHZ51","IAH1_2021",194.27
"W10004_0639/PHZ51","IAH1_2021",202.39
"W10004_0639/PHZ51","NEH1_2021",276.25
"W10004_0639/PHZ51","NEH1_2021",213.05
"W10004_0639/PHZ51","NEH2_2021",130.57
"W10004_0639/PHZ51","NEH2_2021",188.61
"W10004_0639/PHZ51","NEH3_2021",203.85
"W10004_0639/PHZ51","NEH3_2021",178.31
"W10004_0639/PHZ51","TXH1_2021",139.21
"W10004_0639/PHZ51","TXH1_2021",120.54
"W10004_0639/PHZ51","TXH2_2021",165.63
"W10004_0639/PHZ51","TXH2_2021",125.4
"W10004_0639/PHZ51","TXH3_2021",40.4
"W10004_0639/PHZ51","TXH3_2021",32.92
"W10004_0639/PHZ51","WIH2_2021",176.13
"W10004_0639/PHZ51","WIH2_2021",181.88
"W10004_0834/PHZ51","IAH1_2021",134.05
"W10004_0834/PHZ51","IAH1_2021",135.48
"W10004_0834/PHZ51","NEH1_2021",162.27
"W10004_0834/PHZ51","NEH1_2021",165.54
"W10004_0834/PHZ51","NEH2_2021",190.34
"W10004_0834/PHZ51","NEH2_2021",148.7
"W10004_0834/PHZ51","NEH3_2021",156.58
"W10004_0834/PHZ51","NEH3_2021",204.53
"W10004_0834/PHZ51","TXH1_2021",150.29
"W10004_0834/PHZ51","TXH1_2021",143.17
"W10004_0834/PHZ51","TXH2_2021",148.2
"W10004_0834/PHZ51","TXH2_2021",83.01
"W10004_0834/PHZ51","TXH3_2021",17.96
"W10004_0834/PHZ51","TXH3_2021",25.4
"W10004_0834/PHZ51","WIH2_2021",199.3
"W10004_0834/PHZ51","WIH2_2021",177.6
"W10004_0974/PHZ51","IAH1_2021",109.88
"W10004_0974/PHZ51","IAH1_2021",163.07
"W10004_0974/PHZ51","NEH1_2021",188.23
"W10004_0974/PHZ51","NEH1_2021",233.72
"W10004_0974/PHZ51","NEH2_2021",187.78
"W10004_0974/PHZ51","NEH2_2021",149.91
"W10004_0974/PHZ51","NEH3_2021",223.78
"W10004_0974/PHZ51","NEH3_2021",185.72
"W10004_0974/PHZ51","TXH1_2021",110.66
"W10004_0974/PHZ51","TXH1_2021",108.05
"W10004_0974/PHZ51","TXH2_2021",131.91
"W10004_0974/PHZ51","TXH2_2021",108.13
"W10004_0974/PHZ51","TXH3_2021",39.88
"W10004_0974/PHZ51","TXH3_2021",98.3
"W10004_0974/PHZ51","WIH2_2021",208.22
"W10004_0974/PHZ51","WIH2_2021",194.49
