"gen","env","yield"
"W10004_0006/PHK76","IAH1_2021",137.18
"W10004_0006/PHK76","IAH1_2021",129.03
"W10004_0014/PHZ51","IAH1_2021",162.24
"W10004_0014/PHZ51","IAH1_2021",165.45
"W10004_0018/PHK76","IAH1_2021",121.88
"W10004_0018/PHK76","IAH1_2021",126.38
"W10004_0027/PHK76","IAH1_2021",132.74
"W10004_0027/PHK76","IAH1_2021",144.39
"W10004_0034/PHZ51","IAH1_2021",155.07
"W10004_0034/PHZ51","IAH1_2021",133.53
"W10004_0039/PHZ51","IAH1_2021",143.7
"W10004_0039/PHZ51","IAH1_2021",141.67
"W10004_0064/PHZ51","IAH1_2021",140.01
"W10004_0064/PHZ51","IAH1_2021",140.13
"W10004_0070/PHK76","IAH1_2021",154.51
"W10004_0070/PHK76","IAH1_2021",116.12
"W10004_0078/PHK76","IAH1_2021",166.37
"W10004_0078/PHK76","IAH1_2021",161.67
"W10004_0097/PHK76","IAH1_2021",145.36
"W10004_0097/PHK76","IAH1_2021",160.86
"W10004_0099/PHK76","IAH1_2021",172.5
"W10004_0099/PHK76","IAH1_2021",155.22
"W10004_0115/PHZ51","IAH1_2021",105.21
"W10004_0115/PHZ51","IAH1_2021",141.71
"W10004_0147/PHZ51","IAH1_2021",104.91
"W10004_0147/PHZ51","IAH1_2021",102.49
"W10004_0150/PHZ51","IAH1_2021",144.27
"W10004_0150/PHZ51","IAH1_2021",95.44
"W10004_0154/PHK76","IAH1_2021",149.26
"W10004_0154/PHK76","IAH1_2021",112.41
"W10004_0154/PHZ51","IAH1_2021",124.91
"W10004_0154/PHZ51","IAH1_2021",73.25
"W10004_0166/PHZ51","IAH1_2021",141.4
"W10004_0166/PHZ51","IAH1_2021",136.13
"W10004_0168/PHZ51","IAH1_2021",131.06
"W10004_0168/PHZ51","IAH1_2021",143.38
"W10004_0190/PHK76","IAH1_2021",155.83
"W10004_0190/PHK76","IAH1_2021",166.15
"W10004_0196/PHZ51","IAH1_2021",146.15
"W10004_0196/PHZ51","IAH1_2021",137.03
"W10004_0220/PHZ51","IAH1_2021",135.25
"W10004_0220/PHZ51","IAH1_2021",122.17
"W10004_0227/PHZ51","IAH1_2021",137.66
"W10004_0227/PHZ51","IAH1_2021",162.16
"W10004_0231/PHZ51","IAH1_2021",166
"W10004_0231/PHZ51","IAH1_2021",111.59
"W10004_0236/PHZ51","IAH1_2021",130.95
"W10004_0236/PHZ51","IAH1_2021",101.53
"W10004_0264/PHZ51","IAH1_2021",94.14
"W10004_0264/PHZ51","IAH1_2021",108.93
"W10004_0270/PHK76","IAH1_2021",166.29
"W10004_0270/PHK76","IAH1_2021",189.98
"W10004_0291/PHK76","IAH1_2021",133.53
"W10004_0291/PHK76","IAH1_2021",170.68
"W10004_0292/PHZ51","IAH1_2021",136.23
"W10004_0292/PHZ51","IAH1_2021",140.36
"W10004_0299/PHZ51","IAH1_2021",162.69
"W10004_0299/PHZ51","IAH1_2021",155.74
"W10004_0327/PHK76","IAH1_2021",158.64
