"gen","yield","env"
"MO44_PHW65_0025/LH195",219.69,"IAH2_2018"
"MO44_PHW65_0025/LH195",196.46,"IAH2_2018"
"MO44_PHW65_0025/LH195",244.77,"IAH3_2018"
"MO44_PHW65_0025/LH195",220.55,"IAH3_2018"
"MO44_PHW65_0029/LH195",208.06,"IAH2_2018"
"MO44_PHW65_0029/LH195",253.86,"IAH2_2018"
"MO44_PHW65_0029/LH195",219.38,"IAH3_2018"
"MO44_PHW65_0029/LH195",224.78,"IAH3_2018"
"MO44_PHW65_0036/LH195",204.71,"IAH2_2018"
"MO44_PHW65_0036/LH195",205.29,"IAH2_2018"
"MO44_PHW65_0036/LH195",224.64,"IAH3_2018"
"MO44_PHW65_0036/LH195",247,"IAH3_2018"
"MO44_PHW65_0073/LH195",178.18,"IAH2_2018"
"MO44_PHW65_0073/LH195",178.49,"IAH2_2018"
"MO44_PHW65_0073/LH195",207.99,"IAH3_2018"
"MO44_PHW65_0073/LH195",218.68,"IAH3_2018"
"MO44_PHW65_0154/LH195",231.44,"IAH2_2018"
"MO44_PHW65_0154/LH195",228.25,"IAH2_2018"
"MO44_PHW65_0154/LH195",216.73,"IAH3_2018"
"MO44_PHW65_0154/LH195",223.93,"IAH3_2018"
"MO44_PHW65_0157/LH195",193.21,"IAH2_2018"
"MO44_PHW65_0157/LH195",194.01,"IAH2_2018"
"MO44_PHW65_0157/LH195",222.38,"IAH3_2018"
"MO44_PHW65_0157/LH195",206.54,"IAH3_2018"
"MO44_PHW65_0166/LH195",234.3,"IAH2_2018"
"MO44_PHW65_0166/LH195",203.77,"IAH2_2018"
"MO44_PHW65_0166/LH195",233.87,"IAH3_2018"
"MO44_PHW65_0166/LH195",214.22,"IAH3_2018"
"MO44_PHW65_0167/LH195",175,"IAH2_2018"
"MO44_PHW65_0167/LH195",182.98,"IAH2_2018"
"MO44_PHW65_0167/LH195",183.12,"IAH3_2018"
"MO44_PHW65_0167/LH195",141.55,"IAH3_2018"
"MO44_PHW65_0178/LH195",211.75,"IAH2_2018"
"MO44_PHW65_0178/LH195",165.47,"IAH2_2018"
"MO44_PHW65_0178/LH195",203.04,"IAH3_2018"
"MO44_PHW65_0178/LH195",223.98,"IAH3_2018"
"MO44_PHW65_0180/LH195",204.56,"IAH2_2018"
"MO44_PHW65_0180/LH195",194.66,"IAH2_2018"
"MO44_PHW65_0180/LH195",223.28,"IAH3_2018"
"MO44_PHW65_0180/LH195",222.99,"IAH3_2018"
"MO44_PHW65_0195/LH195",220.05,"IAH2_2018"
"MO44_PHW65_0195/LH195",173.59,"IAH2_2018"
