"gen","yield","env"
"MO44_PHW65_0195/LH195",173.59,"IAH2_2018"
"MO44_PHW65_0195/LH195",220.05,"IAH2_2018"
"MO44_PHW65_0195/LH195",220.68,"IAH3_2018"
"MO44_PHW65_0195/LH195",224.71,"IAH3_2018"
"MO44_PHW65_0195/LH195",231.33,"ILH1_2018"
"MO44_PHW65_0195/LH195",198.16,"ILH1_2018"
"MO44_PHW65_0195/LH195",172.34,"MNH1_2018"
"MO44_PHW65_0195/LH195",172.34,"MNH1_2018"
"MO44_PHW65_0195/LH195",205.56,"NEH2_2018"
"MO44_PHW65_0195/LH195",239.84,"NEH2_2018"
"MO44_PHW65_0195/LH195",116.25,"NYH3_2018"
"MO44_PHW65_0195/LH195",185.2,"NYH3_2018"
"MO44_PHW65_0195/LH195",134.73,"WIH2_2018"
"MO44_PHW65_0195/LH195",179.31,"WIH2_2018"
"PHW65_MOG_0201/LH195",190.67,"IAH2_2018"
"PHW65_MOG_0201/LH195",214.05,"IAH2_2018"
"PHW65_MOG_0201/LH195",215.87,"IAH3_2018"
"PHW65_MOG_0201/LH195",257.83,"IAH3_2018"
"PHW65_MOG_0201/LH195",161.05,"ILH1_2018"
"PHW65_MOG_0201/LH195",169.39,"ILH1_2018"
"PHW65_MOG_0201/LH195",110.47,"MNH1_2018"
"PHW65_MOG_0201/LH195",114.69,"MNH1_2018"
"PHW65_MOG_0201/LH195",226.87,"NEH2_2018"
"PHW65_MOG_0201/LH195",194.45,"NEH2_2018"
"PHW65_MOG_0201/LH195",106.11,"NYH3_2018"
"PHW65_MOG_0201/LH195",153.28,"NYH3_2018"
"PHW65_MOG_0201/LH195",91.91,"WIH2_2018"
"PHW65_MOG_0201/LH195",74.97,"WIH2_2018"
"PHW65_MOG_0305/LH195",130.46,"IAH2_2018"
"PHW65_MOG_0305/LH195",163.13,"IAH2_2018"
"PHW65_MOG_0305/LH195",233.24,"IAH3_2018"
"PHW65_MOG_0305/LH195",238.21,"IAH3_2018"
"PHW65_MOG_0305/LH195",173.5,"ILH1_2018"
"PHW65_MOG_0305/LH195",188.01,"ILH1_2018"
"PHW65_MOG_0305/LH195",105.98,"MNH1_2018"
"PHW65_MOG_0305/LH195",107.69,"MNH1_2018"
"PHW65_MOG_0305/LH195",222.72,"NEH2_2018"
"PHW65_MOG_0305/LH195",190.89,"NEH2_2018"
"PHW65_MOG_0305/LH195",114,"NYH3_2018"
"PHW65_MOG_0305/LH195",132.96,"NYH3_2018"
"PHW65_MOG_0305/LH195",172.47,"WIH2_2018"
"PHW65_MOG_0305/LH195",92.15,"WIH2_2018"
