"gen","yield","env"
"NILASQ4G11I01S3/LH123HT",80,"DEH1_2018"
"NILASQ4G11I01S3/LH123HT",96.85,"DEH1_2018"
"NILASQ4G11I01S3/LH123HT",151.45,"IAH4_2018"
"NILASQ4G11I01S3/LH123HT",204.46,"IAH4_2018"
"NILASQ4G11I01S3/LH123HT",150.59,"MOH1_2018"
"NILASQ4G11I01S3/LH123HT",144.49,"MOH1_2018"
"NILASQ4G11I01S3/LH123HT",230.09,"NCH1_2018"
"NILASQ4G11I01S3/LH123HT",163.2,"NCH1_2018"
"NILASQ4G11I01S3/LH123HT",246.22,"TXH2_2018"
"NILASQ4G11I01S3/LH123HT",134.52,"TXH2_2018"
"NILASQ4G11I02S2/LH123HT",156.36,"DEH1_2018"
"NILASQ4G11I02S2/LH123HT",51.83,"DEH1_2018"
"NILASQ4G11I02S2/LH123HT",210.32,"IAH4_2018"
"NILASQ4G11I02S2/LH123HT",201.63,"IAH4_2018"
"NILASQ4G11I02S2/LH123HT",166.56,"MOH1_2018"
"NILASQ4G11I02S2/LH123HT",176.92,"MOH1_2018"
"NILASQ4G11I02S2/LH123HT",214.07,"NCH1_2018"
"NILASQ4G11I02S2/LH123HT",182.05,"NCH1_2018"
"NILASQ4G11I02S2/LH123HT",171.67,"TXH2_2018"
"NILASQ4G11I02S2/LH123HT",143.37,"TXH2_2018"
"NILASQ4G11I03S2/LH123HT",81.37,"DEH1_2018"
"NILASQ4G11I03S2/LH123HT",29.22,"DEH1_2018"
"NILASQ4G11I03S2/LH123HT",168.15,"IAH4_2018"
"NILASQ4G11I03S2/LH123HT",152.25,"IAH4_2018"
"NILASQ4G11I03S2/LH123HT",149.2,"MOH1_2018"
"NILASQ4G11I03S2/LH123HT",147.12,"MOH1_2018"
"NILASQ4G11I03S2/LH123HT",240.88,"NCH1_2018"
"NILASQ4G11I03S2/LH123HT",207.06,"NCH1_2018"
"NILASQ4G11I03S2/LH123HT",141.64,"TXH2_2018"
"NILASQ4G11I03S2/LH123HT",139.28,"TXH2_2018"
"NILASQ4G11I04S2/LH123HT",22.02,"DEH1_2018"
"NILASQ4G11I04S2/LH123HT",149.22,"DEH1_2018"
"NILASQ4G11I04S2/LH123HT",170.92,"IAH4_2018"
"NILASQ4G11I04S2/LH123HT",165.92,"IAH4_2018"
"NILASQ4G11I04S2/LH123HT",154.23,"MOH1_2018"
"NILASQ4G11I04S2/LH123HT",114.9,"MOH1_2018"
