"gen","yield","env"
"MO44_PHW65_0397/PHT69",190.3,"IAH4_2018"
"MO44_PHW65_0397/PHT69",204.6,"IAH4_2018"
"MO44_PHW65_0397/PHT69",178.33,"MIH1_2018"
"MO44_PHW65_0397/PHT69",167.21,"MIH1_2018"
"MO44_PHW65_0397/PHT69",153.77,"MNH1_2018"
"MO44_PHW65_0397/PHT69",124.7,"MNH1_2018"
"MO44_PHW65_0397/PHT69",106.65,"MOH1_2018"
"MO44_PHW65_0397/PHT69",98.22,"MOH1_2018"
"MO44_PHW65_0397/PHT69",135.85,"NYH2_2018"
"MO44_PHW65_0397/PHT69",183.39,"NYH2_2018"
"MO44_PHW65_0397/PHT69",149.54,"WIH1_2018"
"MO44_PHW65_0397/PHT69",152.7,"WIH1_2018"
"MO44_PHW65_0397/PHT69",179.83,"WIH2_2018"
"MO44_PHW65_0397/PHT69",190.86,"WIH2_2018"
"PHW65_MOG_0032/PHT69",190.08,"IAH4_2018"
"PHW65_MOG_0032/PHT69",172.23,"IAH4_2018"
"PHW65_MOG_0032/PHT69",157.41,"MIH1_2018"
"PHW65_MOG_0032/PHT69",165.8,"MIH1_2018"
"PHW65_MOG_0032/PHT69",76.23,"MNH1_2018"
"PHW65_MOG_0032/PHT69",76.23,"MNH1_2018"
"PHW65_MOG_0032/PHT69",105.18,"MOH1_2018"
"PHW65_MOG_0032/PHT69",124.83,"MOH1_2018"
"PHW65_MOG_0032/PHT69",94.38,"NYH2_2018"
"PHW65_MOG_0032/PHT69",148.01,"NYH2_2018"
"PHW65_MOG_0032/PHT69",148.26,"WIH1_2018"
"PHW65_MOG_0032/PHT69",176.32,"WIH1_2018"
"PHW65_MOG_0032/PHT69",144.46,"WIH2_2018"
"PHW65_MOG_0032/PHT69",126.28,"WIH2_2018"
"PHW65_MOG_0071/PHT69",189.79,"IAH4_2018"
"PHW65_MOG_0071/PHT69",180.44,"IAH4_2018"
"PHW65_MOG_0071/PHT69",182.4,"MIH1_2018"
"PHW65_MOG_0071/PHT69",159.1,"MIH1_2018"
"PHW65_MOG_0071/PHT69",71.8,"MNH1_2018"
"PHW65_MOG_0071/PHT69",116.7,"MNH1_2018"
"PHW65_MOG_0071/PHT69",129.8,"MOH1_2018"
"PHW65_MOG_0071/PHT69",125.14,"MOH1_2018"
"PHW65_MOG_0071/PHT69",221.43,"NYH2_2018"
"PHW65_MOG_0071/PHT69",148.75,"NYH2_2018"
"PHW65_MOG_0071/PHT69",184.91,"WIH1_2018"
"PHW65_MOG_0071/PHT69",155.59,"WIH1_2018"
"PHW65_MOG_0071/PHT69",202.44,"WIH2_2018"
"PHW65_MOG_0071/PHT69",128.81,"WIH2_2018"
"PHW65_MOG_0213/PHT69",187.19,"IAH4_2018"
"PHW65_MOG_0213/PHT69",184.26,"IAH4_2018"
"PHW65_MOG_0213/PHT69",187.81,"MIH1_2018"
"PHW65_MOG_0213/PHT69",151.24,"MIH1_2018"
"PHW65_MOG_0213/PHT69",63.71,"MNH1_2018"
"PHW65_MOG_0213/PHT69",87.29,"MNH1_2018"
"PHW65_MOG_0213/PHT69",111.69,"MOH1_2018"
"PHW65_MOG_0213/PHT69",104.12,"MOH1_2018"
"PHW65_MOG_0213/PHT69",120.29,"NYH2_2018"
"PHW65_MOG_0213/PHT69",161.48,"NYH2_2018"
"PHW65_MOG_0213/PHT69",171.68,"WIH1_2018"
"PHW65_MOG_0213/PHT69",196.51,"WIH1_2018"
"PHW65_MOG_0213/PHT69",97.21,"WIH2_2018"
"PHW65_MOG_0213/PHT69",107.58,"WIH2_2018"
"PHW65_MOG_0296/PHT69",179.36,"IAH4_2018"
"PHW65_MOG_0296/PHT69",196.63,"IAH4_2018"
"PHW65_MOG_0296/PHT69",142.19,"MIH1_2018"
"PHW65_MOG_0296/PHT69",162.62,"MIH1_2018"
"PHW65_MOG_0296/PHT69",77.77,"MNH1_2018"
"PHW65_MOG_0296/PHT69",77.77,"MNH1_2018"
"PHW65_MOG_0296/PHT69",143.68,"MOH1_2018"
"PHW65_MOG_0296/PHT69",161.45,"MOH1_2018"
"PHW65_MOG_0296/PHT69",139.77,"NYH2_2018"
"PHW65_MOG_0296/PHT69",151.06,"NYH2_2018"
"PHW65_MOG_0296/PHT69",181.05,"WIH1_2018"
"PHW65_MOG_0296/PHT69",204.2,"WIH1_2018"
"PHW65_MOG_0296/PHT69",161.06,"WIH2_2018"
"PHW65_MOG_0296/PHT69",179.69,"WIH2_2018"
