"gen","env","yield"
"LH195/LH210","ARH1_2017",137.19
"LH195/LH210","ARH1_2017",27.19
"LH195/LH210","ARH2_2017",133.92
"LH195/LH210","ARH2_2017",145.94
"LH195/LH210","GAH1_2017",214.99
"LH195/LH210","GAH1_2017",156.42
"LH195/LH210","IAH1_2017",202.98
"LH195/LH210","IAH1_2017",260.86
"LH195/LH210","IAH3_2017",241.08
"LH195/LH210","IAH3_2017",256.02
"LH195/LH210","NCH1_2017",182.11
"LH195/LH210","NCH1_2017",193.33
"LH195/LH210","TXH1-Dry_2017",205.42
"LH195/LH210","TXH1-Dry_2017",211.69
"LH195/LH210","TXH1-Early_2017",204.98
"LH195/LH210","TXH1-Early_2017",230.71
"LH195/LH210","TXH1-Late_2017",121.13
"LH195/LH210","TXH1-Late_2017",126.27
"LH195/LH210","TXH2_2017",173.96
"LH195/LH210","TXH2_2017",209.11
"LH195/NK787","ARH1_2017",93.37
"LH195/NK787","ARH1_2017",86.38
"LH195/NK787","ARH2_2017",139.83
"LH195/NK787","ARH2_2017",125.56
"LH195/NK787","GAH1_2017",196.89
"LH195/NK787","GAH1_2017",96.34
"LH195/NK787","IAH1_2017",255.64
"LH195/NK787","IAH1_2017",254.51
"LH195/NK787","IAH3_2017",305.98
"LH195/NK787","IAH3_2017",285.53
"LH195/NK787","NCH1_2017",178.51
"LH195/NK787","NCH1_2017",170.01
"LH195/NK787","TXH1-Dry_2017",208.4
"LH195/NK787","TXH1-Dry_2017",200.73
"LH195/NK787","TXH1-Early_2017",213.28
"LH195/NK787","TXH1-Early_2017",213.4
"LH195/NK787","TXH1-Late_2017",132.32
"LH195/NK787","TXH1-Late_2017",119.22
"LH195/NK787","TXH2_2017",188.69
"LH195/NK787","TXH2_2017",151.36
"LH195/PHJ65","ARH1_2017",155.62
"LH195/PHJ65","ARH1_2017",100.41
"LH195/PHJ65","ARH2_2017",148.45
"LH195/PHJ65","ARH2_2017",135.4
"LH195/PHJ65","GAH1_2017",91.98
"LH195/PHJ65","GAH1_2017",151.7
"LH195/PHJ65","IAH1_2017",173.41
"LH195/PHJ65","IAH1_2017",223.55
"LH195/PHJ65","IAH3_2017",229.49
"LH195/PHJ65","IAH3_2017",232.8
"LH195/PHJ65","NCH1_2017",208.78
"LH195/PHJ65","NCH1_2017",157.83
"LH195/PHJ65","TXH1-Dry_2017",192.41
"LH195/PHJ65","TXH1-Dry_2017",180.93
