"gen","env","yield"
"CG44/CGR01","ARH1_2017",137.92
"CG44/CGR01","ARH1_2017",84.63
"CG44/CGR01","ARH2_2017",116.11
"CG44/CGR01","ARH2_2017",198.64
"CG44/CGR01","COH1_2017",80.53
"CG44/CGR01","COH1_2017",132.56
"CG44/CGR01","DEH1_2017",130.78
"CG44/CGR01","DEH1_2017",111.73
"CG44/CGR01","GAH1_2017",12.79
"CG44/CGR01","GAH1_2017",47.82
"CG44/CGR01","GAH2_2017",81.21
"CG44/CGR01","GAH2_2017",152.9
"CG44/CGR01","IAH1_2017",113.2
"CG44/CGR01","IAH1_2017",141.43
"CG44/CGR01","IAH2_2017",167.14
"CG44/CGR01","IAH2_2017",134.99
"CG44/CGR01","IAH3_2017",211.42
"CG44/CGR01","IAH3_2017",185.04
"CG44/CGR01","IAH4_2017",164.03
"CG44/CGR01","IAH4_2017",153.68
"CG44/CGR01","ILH1_2017",181.08
"CG44/CGR01","ILH1_2017",146
"CG44/CGR01","INH1_2017",135.69
"CG44/CGR01","INH1_2017",185.06
"CG44/CGR01","MIH1_2017",141.6
"CG44/CGR01","MIH1_2017",124.84
"CG44/CGR01","MNH1_2017",129.84
"CG44/CGR01","MNH1_2017",123.97
"CG44/CGR01","MOH1_2017",127.6
"CG44/CGR01","MOH1_2017",146.57
"CG44/CGR01","NCH1_2017",105.8
"CG44/CGR01","NCH1_2017",91.93
"CG44/CGR01","NYH1_2017",81.65
"CG44/CGR01","NYH1_2017",138.6
"CG44/CGR01","NYH2_2017",164.34
"CG44/CGR01","NYH2_2017",193.17
"CG44/CGR01","OHH1_2017",150.91
"CG44/CGR01","OHH1_2017",152.35
"CG44/CGR01","ONH1_2017",186.54
"CG44/CGR01","ONH1_2017",153.64
"CG44/CGR01","ONH2_2017",63.65
"CG44/CGR01","ONH2_2017",66.17
"CG44/CGR01","TXH1-Dry_2017",106.26
"CG44/CGR01","TXH1-Dry_2017",91.34
"CG44/CGR01","TXH1-Early_2017",115.1
"CG44/CGR01","TXH1-Early_2017",118.64
"CG44/CGR01","TXH1-Late_2017",86.53
"CG44/CGR01","TXH1-Late_2017",90.25
"CG44/CGR01","TXH2_2017",135.65
"CG44/CGR01","TXH2_2017",107.5
"CG44/CGR01","WIH1_2017",205.8805004
"CG44/CGR01","WIH1_2017",206.8392857
"CG44/CGR01","WIH2_2017",216.8125106
"CG44/CGR01","WIH2_2017",161.1552629
"CGR03/CG108","ARH1_2017",190.46
"CGR03/CG108","ARH1_2017",85.26
"CGR03/CG108","ARH2_2017",205.64
"CGR03/CG108","ARH2_2017",122.07
"CGR03/CG108","COH1_2017",91.88
"CGR03/CG108","COH1_2017",103.41
"CGR03/CG108","DEH1_2017",113.6
"CGR03/CG108","DEH1_2017",112.53
"CGR03/CG108","GAH1_2017",30.77
"CGR03/CG108","GAH1_2017",70.89
"CGR03/CG108","GAH2_2017",11
"CGR03/CG108","GAH2_2017",108.92
