"gen","env","yield"
"CG123/S8324","COH1_2017",124.99
"CG123/S8324","COH1_2017",145.5
"CG123/S8324","IAH2_2017",193.03
"CG123/S8324","IAH2_2017",162.87
"CG123/S8324","IAH4_2017",145.47
"CG123/S8324","IAH4_2017",164.04
"CG123/S8324","MIH1_2017",168.76
"CG123/S8324","MIH1_2017",166.15
"CG123/S8324","MNH1_2017",113.35
"CG123/S8324","MNH1_2017",142.29
"CG123/S8324","NYH1_2017",120.93
"CG123/S8324","NYH1_2017",91.68
"CG123/S8324","NYH2_2017",179.07
"CG123/S8324","NYH2_2017",191.02
"CG123/S8324","ONH1_2017",187.14
"CG123/S8324","ONH1_2017",212.1
"CG123/S8324","WIH1_2017",191.2403838
"CG123/S8324","WIH1_2017",198.2368301
"CG123/S8324","WIH2_2017",167.1472316
"CG123/S8324","WIH2_2017",187.3133559
"CG124/CG120","COH1_2017",143.83
"CG124/CG120","COH1_2017",74.84
"CG124/CG120","IAH2_2017",127.29
"CG124/CG120","IAH2_2017",147.2
"CG124/CG120","IAH4_2017",155.3
"CG124/CG120","IAH4_2017",142.76
"CG124/CG120","MIH1_2017",141.72
"CG124/CG120","MIH1_2017",156.8
"CG124/CG120","MNH1_2017",175.18
"CG124/CG120","MNH1_2017",151.19
"CG124/CG120","NYH1_2017",90.85
"CG124/CG120","NYH1_2017",70.84
"CG124/CG120","NYH2_2017",173.98
"CG124/CG120","NYH2_2017",171.16
"CG124/CG120","ONH1_2017",180.1
"CG124/CG120","ONH1_2017",168.26
"CG124/CG120","WIH1_2017",190.2214286
"CG124/CG120","WIH1_2017",160.8304793
"CG124/CG120","WIH2_2017",171.5530245
"CG124/CG120","WIH2_2017",156.2931327
"CG124/LH145","COH1_2017",81.47
"CG124/LH145","COH1_2017",89.1
"CG124/LH145","IAH2_2017",96.48
"CG124/LH145","IAH2_2017",119.85
"CG124/LH145","IAH4_2017",88.23
"CG124/LH145","IAH4_2017",89.69
"CG124/LH145","MIH1_2017",119.43
"CG124/LH145","MIH1_2017",107.21
"CG124/LH145","MNH1_2017",144.6
"CG124/LH145","MNH1_2017",131.44
"CG124/LH145","NYH1_2017",116.2
"CG124/LH145","NYH1_2017",110.89
"CG124/LH145","NYH2_2017",174.38
"CG124/LH145","NYH2_2017",142.23
"CG124/LH145","ONH1_2017",88.75
"CG124/LH145","ONH1_2017",146.43
"CG124/LH145","WIH1_2017",193.3524396
"CG124/LH145","WIH1_2017",196.0827642
"CG124/LH145","WIH2_2017",92.8770634
"CG124/LH145","WIH2_2017",109.8704176
"LH82/LH145","COH1_2017",115.94
"LH82/LH145","COH1_2017",100.25
"LH82/LH145","IAH2_2017",130.86
"LH82/LH145","IAH2_2017",109.33
"LH82/LH145","IAH4_2017",156.26
"LH82/LH145","IAH4_2017",149.7
"LH82/LH145","MIH1_2017",82.47
"LH82/LH145","MIH1_2017",84.52
"LH82/LH145","MNH1_2017",145.74
"LH82/LH145","MNH1_2017",181.25
"LH82/LH145","NYH1_2017",103.87
"LH82/LH145","NYH1_2017",166.88
"LH82/LH145","NYH2_2017",122.03
"LH82/LH145","NYH2_2017",175.12
"LH82/LH145","ONH1_2017",174.39
"LH82/LH145","ONH1_2017",164.7
"LH82/LH145","WIH1_2017",167.805
"LH82/LH145","WIH1_2017",132.4363922
"LH82/LH145","WIH2_2017",192.0764024
"LH82/LH145","WIH2_2017",117.2489721
"PHHV4/PHK05","COH1_2017",98.1
"PHHV4/PHK05","COH1_2017",119.78
"PHHV4/PHK05","IAH2_2017",149.23
"PHHV4/PHK05","IAH2_2017",145.53
"PHHV4/PHK05","IAH4_2017",180.08
"PHHV4/PHK05","IAH4_2017",114.34
"PHHV4/PHK05","MIH1_2017",109.71
"PHHV4/PHK05","MIH1_2017",121.18
"PHHV4/PHK05","MNH1_2017",146.27
"PHHV4/PHK05","MNH1_2017",123.63
"PHHV4/PHK05","NYH1_2017",85.04
"PHHV4/PHK05","NYH1_2017",48.54
"PHHV4/PHK05","NYH2_2017",113.02
"PHHV4/PHK05","NYH2_2017",123.12
"PHHV4/PHK05","ONH1_2017",185.66
"PHHV4/PHK05","ONH1_2017",169.2
"PHHV4/PHK05","WIH1_2017",137.4238833
"PHHV4/PHK05","WIH1_2017",201.2687574
"PHHV4/PHK05","WIH2_2017",173.032836
"PHHV4/PHK05","WIH2_2017",135.8179577
"PHK05/PHRE1","COH1_2017",94.6
"PHK05/PHRE1","COH1_2017",114.1
"PHK05/PHRE1","IAH2_2017",110.07
"PHK05/PHRE1","IAH2_2017",129.66
"PHK05/PHRE1","IAH4_2017",126.05
"PHK05/PHRE1","IAH4_2017",124.67
"PHK05/PHRE1","MIH1_2017",126.48
"PHK05/PHRE1","MIH1_2017",122.1
"PHK05/PHRE1","MNH1_2017",89.56
"PHK05/PHRE1","MNH1_2017",111.16
"PHK05/PHRE1","NYH1_2017",58.7
"PHK05/PHRE1","NYH1_2017",62.8
"PHK05/PHRE1","NYH2_2017",120.55
"PHK05/PHRE1","NYH2_2017",133.98
"PHK05/PHRE1","ONH1_2017",159.68
"PHK05/PHRE1","ONH1_2017",169.8
"PHK05/PHRE1","WIH1_2017",159.8547058
"PHK05/PHRE1","WIH1_2017",136.3614117
"PHK05/PHRE1","WIH2_2017",133.2024497
"PHK05/PHRE1","WIH2_2017",121.498022
"PHRE1/CG123","COH1_2017",91.3
"PHRE1/CG123","COH1_2017",108.19
"PHRE1/CG123","IAH2_2017",142.66
"PHRE1/CG123","IAH2_2017",165.46
"PHRE1/CG123","IAH4_2017",161.02
"PHRE1/CG123","IAH4_2017",181.51
"PHRE1/CG123","MIH1_2017",135.04
"PHRE1/CG123","MIH1_2017",135.34
"PHRE1/CG123","MNH1_2017",118.35
"PHRE1/CG123","MNH1_2017",174
"PHRE1/CG123","NYH1_2017",105.11
"PHRE1/CG123","NYH1_2017",149.71
"PHRE1/CG123","NYH2_2017",148.09
"PHRE1/CG123","NYH2_2017",169.05
"PHRE1/CG123","ONH1_2017",140.26
"PHRE1/CG123","ONH1_2017",176.02
"PHRE1/CG123","WIH1_2017",185.2714286
"PHRE1/CG123","WIH1_2017",158.2835934
"PHRE1/CG123","WIH2_2017",144.7826044
"PHRE1/CG123","WIH2_2017",126.9420178
"PHRE1/PHR25","COH1_2017",109.01
"PHRE1/PHR25","COH1_2017",114.13
"PHRE1/PHR25","IAH2_2017",167.16
"PHRE1/PHR25","IAH2_2017",160.12
"PHRE1/PHR25","IAH4_2017",118.81
"PHRE1/PHR25","IAH4_2017",142.52
"PHRE1/PHR25","MIH1_2017",155.86
"PHRE1/PHR25","MIH1_2017",100.2
"PHRE1/PHR25","MNH1_2017",120.77
"PHRE1/PHR25","MNH1_2017",141.52
"PHRE1/PHR25","NYH1_2017",55.9
"PHRE1/PHR25","NYH1_2017",132.18
"PHRE1/PHR25","NYH2_2017",123.05
"PHRE1/PHR25","NYH2_2017",102.39
"PHRE1/PHR25","ONH1_2017",124.8
"PHRE1/PHR25","ONH1_2017",173.73
"PHRE1/PHR25","WIH1_2017",138.107929
"PHRE1/PHR25","WIH1_2017",134.7064463
"PHRE1/PHR25","WIH2_2017",143.7456568
"PHRE1/PHR25","WIH2_2017",147.8645757
"S8324/LH162","COH1_2017",102.49
"S8324/LH162","COH1_2017",122.64
"S8324/LH162","IAH2_2017",175.92
"S8324/LH162","IAH2_2017",170.28
"S8324/LH162","IAH4_2017",148.55
"S8324/LH162","IAH4_2017",141.22
"S8324/LH162","MIH1_2017",155.37
"S8324/LH162","MIH1_2017",179.3
"S8324/LH162","MNH1_2017",147.82
"S8324/LH162","MNH1_2017",128.45
"S8324/LH162","NYH1_2017",134.15
"S8324/LH162","NYH1_2017",113.5
"S8324/LH162","NYH2_2017",131.94
"S8324/LH162","NYH2_2017",188.93
"S8324/LH162","ONH1_2017",175.64
"S8324/LH162","ONH1_2017",167.67
"S8324/LH162","WIH1_2017",149.009645
"S8324/LH162","WIH1_2017",134.0249112
"S8324/LH162","WIH2_2017",131.7544387
"S8324/LH162","WIH2_2017",122.8336433
